State,Quality,kitchen,bath_half,bath_full,entry_exit,heating,electric,garage_attached_1_car,garage_detached_1_car,garage_attached_2_car,garage_detached_2_car,fireplace
AL,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
AL,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
AL,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
AK,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
AK,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
AK,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
AZ,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
AZ,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
AZ,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
AR,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
AR,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
AR,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
CA,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
CA,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
CA,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
CO,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
CO,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
CO,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
CT,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
CT,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
CT,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
DC,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
DC,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
DC,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
DE,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
DE,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
DE,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
FL,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
FL,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
FL,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
GA,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
GA,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
GA,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
HI,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
HI,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
HI,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
ID,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
ID,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
ID,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
IL,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
IL,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
IL,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
IN,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
IN,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
