County,MSA,State,State_county,State_msa
JEFFERSON,BIRMINGHAM,AL,"AL,JEFFERSON","AL,BIRMINGHAM"
SHELBY,BIRMINGHAM,AL,"AL,SHELBY","AL,BIRMINGHAM"
ST. CLAIR,BIRMINGHAM,AL,"AL,ST. CLAIR","AL,BIRMINGHAM"
WALKER,BIRMINGHAM,AL,"AL,WALKER","AL,BIRMINGHAM"
MADISON,HUNTSVILLE,AL,"AL,MADISON","AL,HUNTSVILLE"
LIMESTONE,HUNTSVILLE,AL,"AL,LIMESTONE","AL,HUNTSVILLE"
MOBILE,MOBILE,AL,"AL,MOBILE","AL,MOBILE"
BALDWIN,MOBILE,AL,"AL,BALDWIN","AL,MOBILE"
MONTGOMERY,MONTGOMERY,AL,"AL,MONTGOMERY","AL,MONTGOMERY"
AUTAUGA,MONTGOMERY,AL,"AL,AUTAUGA","AL,MONTGOMERY"
ELMORE,MONTGOMERY,AL,"AL,ELMORE","AL,MONTGOMERY"
TUSCALOOSA,TUSCALOOSA,AL,"AL,TUSCALOOSA","AL,TUSCALOOSA"
PICKENS,TUSCALOOSA,AL,"AL,PICKENS","AL,TUSCALOOSA"
MORGAN,DECATUR,AL,"AL,MORGAN","AL,DECATUR"
LAWRENCE,DECATUR,AL,"AL,LAWRENCE","AL,DECATUR"
HOUSTON,DOTHAN,AL,"AL,HOUSTON","AL,DOTHAN"
HENRY,DOTHAN,AL,"AL,HENRY","AL,DOTHAN"
ETOWAH,GADSDEN,AL,"AL,ETOWAH","AL,GADSDEN"
CHEROKEE,GADSDEN,AL,"AL,CHEROKEE","AL,GADSDEN"
CALHOUN,ANNISTON,AL,"AL,CALHOUN","AL,ANNISTON"
CLEBURNE,ANNISTON,AL,"AL,CLEBURNE","AL,ANNISTON"
DALLAS,SELMA,AL,"AL,DALLAS","AL,SELMA"
PERRY,SELMA,AL,"AL,PERRY","AL,SELMA"
RUSSELL,PHENIX CITY,AL,"AL,RUSSELL","AL,PHENIX CITY"
LEE,PHENIX CITY,AL,"AL,LEE","AL,PHENIX CITY"
WALKER,JASPER,AL,"AL,WALKER","AL,JASPER"
WINSTON,JASPER,AL,"AL,WINSTON","AL,JASPER"
CHOCTAW,BUTLER,AL,"AL,CHOCTAW","AL,BUTLER"
BUTLER,BUTLER,AL,"AL,BUTLER","AL,BUTLER"
CONECUH,EVERGREEN,AL,"AL,CONECUH","AL,EVERGREEN"
MONROE,EVERGREEN,AL,"AL,MONROE","AL,EVERGREEN"
ANCHORAGE MUNICIPALITY,ANCHORAGE,AK,"AK,ANCHORAGE MUNICIPALITY","AK,ANCHORAGE"
MATANUSKA-SUSITNA BOROUGH,ANCHORAGE,AK,"AK,MATANUSKA-SUSITNA BOROUGH","AK,ANCHORAGE"
KENAI PENINSULA BOROUGH,ANCHORAGE,AK,"AK,KENAI PENINSULA BOROUGH","AK,ANCHORAGE"
VALDEZ-CORDOVA,ANCHORAGE,AK,"AK,VALDEZ-CORDOVA","AK,ANCHORAGE"
