State_city,Mapping
"AL,ANNISTON",0
"AL,BIRMINGHAM",1
"AL,BUTLER",2
"AL,DECATUR",3
"AL,DOTHAN",4
"AL,EVERGREEN",5
"AL,GADSDEN",6
"AL,HUNTSVILLE",7
"AL,JASPER",8
"AL,MOBILE",9
"AL,MONTGOMERY",10
"AL,PHENIX CITY",11
"AL,SELMA",12
"AL,TUSCALOOSA",13
"AK,ANCHORAGE",14
"AK,FAIRBANKS",15
"AK,JUNEAU",16
"AK,KETCHIKAN",17
"AZ,CHAMBERS",18
"AZ,FLAGSTAFF",19
"AZ,GLOBE",20
"AZ,KINGMAN",21
"AZ,MESA/TEMPE",22
"AZ,PHOENIX",23
"AZ,PRESCOTT",24
"AZ,SHOW LOW",25
"AZ,TUCSON",26
"AR,BATESVILLE",27
"AR,CAMDEN",28
"AR,FAYETTEVILLE",29
"AR,FORT SMITH",30
"AR,HARRISON",31
"AR,HOT SPRINGS",32
"AR,JONESBORO",33
"AR,LITTLE ROCK",34
"AR,PINE BLUFF",35
"AR,RUSSELLVILLE",36
"AR,TEXARKANA",37
"AR,WEST MEMPHIS",38
"CA,ALHAMBRA",39
"CA,ANAHEIM",40
"CA,BAKERSFIELD",41
"CA,BERKELEY",42
"CA,EUREKA",43
"CA,FRESNO",44
"CA,INGLEWOOD",45
"CA,LONG BEACH",46
"CA,LOS ANGELES",47
"CA,MARYSVILLE",48
"CA,MODESTO",49
"CA,MOJAVE",50
"CA,OAKLAND",51
"CA,OXNARD",52
"CA,PALM SPRINGS",53
"CA,PALO ALTO",54
"CA,PASADENA",55
"CA,REDDING",56
"CA,RICHMOND",57
"CA,RIVERSIDE",58
"CA,SACRAMENTO",59
"CA,SALINAS",60
"CA,SAN BERNARDINO",61
"CA,SAN DIEGO",62
"CA,SAN FRANCISCO",63
"CA,SAN JOSE",64
"CA,SAN LUIS OBISPO",65
"CA,SAN MATEO",66
"CA,SAN RAFAEL",67
"CA,SANTA ANA",68
"CA,SANTA BARBARA",69
"CA,SANTA CRUZ",70
"CA,SANTA ROSA",71
"CA,STOCKTON",72
"CA,SUSANVILLE",73
"CA,VALLEJO",74
"CA,VAN NUYS",75
"CO,ALAMOSA",76
"CO,BOULDER",77
"CO,COLORADO SPRINGS",78
"CO,DENVER",79
"CO,DURANGO",80
"CO,FORT COLLINS",81
"CO,FORT MORGAN",82
"CO,GLENWOOD SPRINGS",83
"CO,GOLDEN",84
"CO,GRAND JUNCTION",85
"CO,GREELEY",86
"CO,MONTROSE",87
"CO,PUEBLO",88
"CO,SALIDA",89
"CT,BRIDGEPORT",90
"CT,HARTFORD",91
"CT,MERIDEN",92
"CT,NEW BRITAIN",93
"CT,NEW HAVEN",94
"CT,NEW LONDON",95
"CT,NORWALK",96
"CT,STAMFORD",97
"CT,WATERBURY",98
"CT,WILLIMANTIC",99
"DC,WASHINGTON",100
"DE,DOVER",101
"DE,NEWARK",102
"DE,WILMINGTON",103
"FL,DAYTONA BEACH",104
"FL,FORT LAUDERDALE",105
"FL,FORT MYERS",106
"FL,GAINESVILLE",107
"FL,JACKSONVILLE",108
"FL,LAKELAND",109
"FL,MELBOURNE",110
"FL,MIAMI",111
"FL,ORLANDO",112
"FL,PANAMA CITY",113
"FL,PENSACOLA",114
"FL,SARASOTA",115
"FL,ST. PETERSBURG",116
"FL,TALLAHASSEE",117
"FL,TAMPA",118
"FL,WEST PALM BEACH",119
"GA,ALBANY",120
"GA,ATHENS",121
"GA,ATLANTA",122
"GA,AUGUSTA",123
"GA,COLUMBUS",124
"GA,DALTON",125
"GA,GAINESVILLE",126
"GA,MACON",127
"GA,SAVANNAH",128
"GA,STATESBORO",129
"GA,VALDOSTA",130
"GA,WAYCROSS",131
"HI,HILO",132
"HI,HONOLULU",133
"HI,STATES & POSS., GUAM",134
"ID,BOISE",135
"ID,COEUR D'ALENE",136
"ID,IDAHO FALLS",137
"ID,LEWISTON",138
"ID,POCATELLO",139
"ID,TWIN FALLS",140
"IL,BLOOMINGTON",141
"IL,CARBONDALE",142
"IL,CENTRALIA",143
"IL,CHAMPAIGN",144
"IL,CHICAGO",145
"IL,DECATUR",146
"IL,EAST ST. LOUIS",147
"IL,EFFINGHAM",148
"IL,GALESBURG",149
"IL,JOLIET",150
"IL,KANKAKEE",151
"IL,LA SALLE",152
"IL,NORTH SUBURBAN",153
"IL,PEORIA",154
"IL,QUINCY",155
"IL,ROCK ISLAND",156
"IL,ROCKFORD",157
"IL,SOUTH SUBURBAN",158
"IL,SPRINGFIELD",159
"IN,ANDERSON",160
"IN,BLOOMINGTON",161
"IN,COLUMBUS",162
"IN,EVANSVILLE",163
"IN,FORT WAYNE",164
"IN,GARY",165
"IN,INDIANAPOLIS",166
"IN,KOKOMO",167
"IN,LAFAYETTE",168
"IN,LAWRENCEBURG",169
"IN,MUNCIE",170
"IN,NEW ALBANY",171
"IN,SOUTH BEND",172
"IN,TERRE HAUTE",173
"IN,WASHINGTON",174
"IA,BURLINGTON",175
"IA,CARROLL",176
"IA,CEDAR RAPIDS",177
"IA,COUNCIL BLUFFS",178
"IA,CRESTON",179
"IA,DAVENPORT",180
"IA,DECORAH",181
"IA,DES MOINES",182
"IA,DUBUQUE",183
"IA,FORT DODGE",184
"IA,MASON CITY",185
"IA,OTTUMWA",186
"IA,SHENANDOAH",187
"IA,SIBLEY",188
"IA,SIOUX CITY",189
"IA,SPENCER",190
