,Unnamed: 0,zpid,price,bedrooms,bathrooms,squarefeetarea,latitude,street_address,zipcode,link,longitude,half_bathroom,lot_area,home_type
0,0,347835861,115000,1,1.0,648,36.1402,"""1502 S Boulder Ave W #13K""","""74119""",https://www.zillow.com/homedetails/1502-S-Boulder-Ave-W-13K-Tulsa-OK-74119/347835861_zpid/,-95.98875,0.0,33671.88,Condominium
1,1,22220618,123500,1,1.0,800,36.03306,"""2854 E 90th St S #1503""","""74137""",https://www.zillow.com/homedetails/2854-E-90th-St-S-1503-Tulsa-OK-74137/22220618_zpid/,-95.94716,0.0,,Condominium
2,2,347035882,101000,1,1.0,795,36.06883,"""7907 E 66th St S #B""","""74133""",https://www.zillow.com/homedetails/7907-E-66th-St-S-B-Tulsa-OK-74133/347035882_zpid/,-95.887794,0.0,,Condominium
3,3,22134770,107000,1,1.0,720,36.147675,"""410 W 7th St APT 825""","""74119""",https://www.zillow.com/homedetails/410-W-7th-St-APT-825-Tulsa-OK-74119/22134770_zpid/,-95.9941,0.0,,Condominium
4,4,22229427,61500,1,1.0,627,36.0647,"""4860 E 68th St UNIT 237""","""74136""",https://www.zillow.com/homedetails/4860-E-68th-St-UNIT-237-Tulsa-OK-74136/22229427_zpid/,-95.92318,0.0,43560.0,Condominium
5,5,2136614610,40000,1,1.0,806,36.066208,"""2215 E 67th St UNIT 1512""","""74136""",https://www.zillow.com/homedetails/2215-E-67th-St-UNIT-1512-Tulsa-OK-74136/2136614610_zpid/,-95.95994,0.0,,Condominium
6,6,22171660,125000,1,1.0,624,36.1402,"""1502 S Boulder Ave APT 17B""","""74119""",https://www.zillow.com/homedetails/1502-S-Boulder-Ave-APT-17B-Tulsa-OK-74119/22171660_zpid/,-95.98875,0.0,33671.88,Condominium
7,7,22229521,74400,1,1.0,696,36.06569,"""4640 E 68th St UNIT 284""","""74136""",https://www.zillow.com/homedetails/4640-E-68th-St-UNIT-284-Tulsa-OK-74136/22229521_zpid/,-95.924866,0.0,,Condominium
8,8,22220588,126000,1,1.0,759,36.033417,"""2818 E 90th St UNIT 1105""","""74137""",https://www.zillow.com/homedetails/2818-E-90th-St-UNIT-1105-Tulsa-OK-74137/22220588_zpid/,-95.947205,0.0,,Condominium
9,9,22171723,138500,1,1.0,648,36.1402,"""1502 S Boulder Ave APT 22K""","""74119""",https://www.zillow.com/homedetails/1502-S-Boulder-Ave-APT-22K-Tulsa-OK-74119/22171723_zpid/,-95.98875,0.0,,Condominium
10,10,342775630,132500,1,1.0,771,36.029476,"""4711 E 93rd Ct S #25-B""","""74137""",https://www.zillow.com/homedetails/4711-E-93rd-Ct-S-25-B-Tulsa-OK-74137/342775630_zpid/,-95.925095,0.0,,Condominium
11,11,343586172,115000,1,1.0,660,36.1402,"""1502 S Boulder Ave W #19-J""","""74119""",https://www.zillow.com/homedetails/1502-S-Boulder-Ave-W-19-J-Tulsa-OK-74119/343586172_zpid/,-95.98875,0.0,33671.88,Condominium
12,12,22134669,98000,1,1.0,720,36.147675,"""410 W 7th St APT 1929""","""74119""",https://www.zillow.com/homedetails/410-W-7th-St-APT-1929-Tulsa-OK-74119/22134669_zpid/,-95.9941,0.0,,Condominium
13,13,2079384936,36500,1,1.0,488,36.0672,"""1802 E 66th Pl UNIT F308""","""74136""",https://www.zillow.com/homedetails/1802-E-66th-Pl-UNIT-F308-Tulsa-OK-74136/2079384936_zpid/,-95.96422,0.0,42340.32,Condominium
