,zpid,price,bedrooms,squarefeetarea,latitude,street_address,zipcode,link,longitude,full_bathroom,half_bathroom,quarter_bathroom,three_quarter_bathroom,year_built,lot_area,stories,home_type,full_address
0,22114515,246000,4,1532,36.155727,2637 E 4th St,74104,https://www.zillow.com/homedetails/2637-E-4th-St-Tulsa-OK-74104/22114515_zpid/,-95.95213,3.0,0.0,0.0,0.0,1948.0,7492.32,1.0,Duplex,"2637 E 4th St,Tulsa,OK"
1,22120268,10000,2,924,36.164566,519 N Hudson Ave,74115,https://www.zillow.com/homedetails/519-N-Hudson-Ave-Tulsa-OK-74115/22120268_zpid/,-95.91316,0.0,0.0,0.0,0.0,1935.0,12545.28,1.0,Duplex,"519 N Hudson Ave,Tulsa,OK"
2,22144917,255000,2,2185,36.127705,2420 S 83rd East Ave,74129,https://www.zillow.com/homedetails/2420-S-83rd-East-Ave-Tulsa-OK-74129/22144917_zpid/,-95.88521,1.0,0.0,0.0,0.0,1969.0,10585.08,1.0,Duplex,"2420 S 83rd East Ave,Tulsa,OK"
3,22144918,255000,4,2185,36.12746,2426 S 83rd East Ave,74129,https://www.zillow.com/homedetails/2426-S-83rd-East-Ave-Tulsa-OK-74129/22144918_zpid/,-95.885216,1.0,0.0,0.0,0.0,1969.0,12545.28,1.0,Duplex,"2426 S 83rd East Ave,Tulsa,OK"
4,401750019,270000,2,2296,36.05864,7219 S 66th East Ave #7219/7221,74133,https://www.zillow.com/homedetails/7219-S-66th-East-Ave-7219-7221-Tulsa-OK-74133/401750019_zpid/,-95.90331,4.0,0.0,0.0,0.0,1970.0,9191.16,1.0,Duplex,"7219 S 66th East Ave #7219/7221,Tulsa,OK"
5,22108907,60000,4,968,36.139286,11006 E 16th St,74128,https://www.zillow.com/homedetails/11006-E-16th-St-Tulsa-OK-74128/22108907_zpid/,-95.85328,1.0,0.0,0.0,0.0,1977.0,10454.4,1.0,Duplex,"11006 E 16th St,Tulsa,OK"
6,22101277,325000,6,2298,36.174152,1324 N Denver Ave,74106,https://www.zillow.com/homedetails/1324-N-Denver-Ave-Tulsa-OK-74106/22101277_zpid/,-95.999725,4.0,0.0,0.0,0.0,1939.0,20168.28,1.0,Duplex,"1324 N Denver Ave,Tulsa,OK"
7,401749865,370000,2,3120,36.062332,6918 S 78th East Ave #6918/6920,74133,https://www.zillow.com/homedetails/6918-S-78th-East-Ave-6918-6920-Tulsa-OK-74133/401749865_zpid/,-95.890625,4.0,2.0,0.0,0.0,1983.0,34543.08,2.0,Duplex,"6918 S 78th East Ave #6918/6920,Tulsa,OK"
8,22150195,365000,6,1944,36.11457,1345 E 34th St,74105,https://www.zillow.com/homedetails/1345-E-34th-St-Tulsa-OK-74105/22150195_zpid/,-95.97377,1.0,0.0,0.0,0.0,1925.0,6185.52,1.0,Duplex,"1345 E 34th St,Tulsa,OK"
9,2078731212,299900,8,2910,36.06779,1903 E 66th Pl,74136,https://www.zillow.com/homedetails/1903-E-66th-Pl-Tulsa-OK-74136/2078731212_zpid/,-95.96399,4.0,0.0,0.0,0.0,1980.0,17511.12,1.0,Duplex,"1903 E 66th Pl,Tulsa,OK"
10,22164293,513500,3,4334,36.063366,6829 S 78th East Ave,74133,https://www.zillow.com/homedetails/6829-S-78th-East-Ave-Tulsa-OK-74133/22164293_zpid/,-95.890015,4.0,2.0,0.0,0.0,1982.0,27007.2,2.0,Duplex,"6829 S 78th East Ave,Tulsa,OK"
11,22135096,104000,5,1221,36.17583,1420 N Boston Ave,74106,https://www.zillow.com/homedetails/1420-N-Boston-Ave-Tulsa-OK-74106/22135096_zpid/,-95.99607,0.0,0.0,0.0,0.0,1940.0,8842.68,1.0,Duplex,"1420 N Boston Ave,Tulsa,OK"
12,22112038,235000,3,2578,36.068344,1906 E 66th St S,74136,https://www.zillow.com/homedetails/1906-E-66th-St-S-Tulsa-OK-74136/22112038_zpid/,-95.963715,4.0,0.0,0.0,0.0,1980.0,7753.68,1.0,Duplex,"1906 E 66th St S,Tulsa,OK"
14,22174478,275000,2,1720,36.137108,3615 E 17th St,74112,https://www.zillow.com/homedetails/3615-E-17th-St-Tulsa-OK-74112/22174478_zpid/,-95.93618,2.0,0.0,0.0,0.0,1950.0,58413.96,1.0,Duplex,"3615 E 17th St,Tulsa,OK"
15,22109002,89000,5,959,36.140835,11052 E 14th Ct S,74128,https://www.zillow.com/homedetails/11052-E-14th-Ct-S-Tulsa-OK-74128/22109002_zpid/,-95.85216,1.0,0.0,0.0,0.0,1982.0,9016.92,1.0,Duplex,"11052 E 14th Ct S,Tulsa,OK"
16,22112058,267500,5,2578,36.0689,1809 E 66th St S,74136,https://www.zillow.com/homedetails/1809-E-66th-St-S-Tulsa-OK-74136/22112058_zpid/,-95.96466,4.0,0.0,0.0,0.0,1980.0,3789.72,1.0,Duplex,"1809 E 66th St S,Tulsa,OK"
17,22112060,267500,2,2578,36.068844,1729 E 66th St S,74136,https://www.zillow.com/homedetails/1729-E-66th-St-S-Tulsa-OK-74136/22112060_zpid/,-95.96521,4.0,0.0,0.0,0.0,1980.0,10497.96,1.0,Duplex,"1729 E 66th St S,Tulsa,OK"
18,22144922,250000,6,2185,36.127506,2425 S 83rd East Ave,74129,https://www.zillow.com/homedetails/2425-S-83rd-East-Ave-Tulsa-OK-74129/22144922_zpid/,-95.88462,1.0,0.0,0.0,0.0,1969.0,10280.16,1.0,Duplex,"2425 S 83rd East Ave,Tulsa,OK"
19,22131416,345000,3,2784,36.059444,6601 E 72nd Pl S,74133,https://www.zillow.com/homedetails/6601-E-72nd-Pl-S-Tulsa-OK-74133/22131416_zpid/,-95.90365,2.0,2.0,0.0,0.0,1970.0,18687.24,2.0,Duplex,"6601 E 72nd Pl S,Tulsa,OK"
20,22131419,310000,2,2730,36.05876,7214 S 66th East Ave,74133,https://www.zillow.com/homedetails/7214-S-66th-East-Ave-Tulsa-OK-74133/22131419_zpid/,-95.90386,2.0,0.0,0.0,0.0,1970.0,7013.16,1.0,Duplex,"7214 S 66th East Ave,Tulsa,OK"
21,22110752,225000,2,1679,36.114304,5807 E 35th St,74135,https://www.zillow.com/homedetails/5807-E-35th-St-Tulsa-OK-74135/22110752_zpid/,-95.912476,1.0,0.0,0.0,0.0,1965.0,8276.4,1.0,Duplex,"5807 E 35th St,Tulsa,OK"
22,347530874,255000,4,2072,36.148758,1005 S Quincy Ave,74120,https://www.zillow.com/homedetails/1005-S-Quincy-Ave-Tulsa-OK-74120/347530874_zpid/,-95.97317,2.0,0.0,0.0,0.0,1936.0,18077.4,1.0,Duplex,"1005 S Quincy Ave,Tulsa,OK"
23,22177948,381000,3,3008,36.142643,1325 S Elwood Ave,74119,https://www.zillow.com/homedetails/1325-S-Elwood-Ave-Tulsa-OK-74119/22177948_zpid/,-95.99323,2.0,0.0,0.0,0.0,1938.0,8581.32,2.0,Duplex,"1325 S Elwood Ave,Tulsa,OK"
24,22133712,180000,3,1846,36.146297,1148 S 73rd East Ave,74112,https://www.zillow.com/homedetails/1148-S-73rd-East-Ave-Tulsa-OK-74112/22133712_zpid/,-95.896,1.0,0.0,0.0,0.0,1968.0,6664.68,1.0,Duplex,"1148 S 73rd East Ave,Tulsa,OK"
25,22173333,172500,3,1330,36.14222,1402 S Jamestown Ave,74112,https://www.zillow.com/homedetails/1402-S-Jamestown-Ave-Tulsa-OK-74112/22173333_zpid/,-95.93847,0.0,0.0,0.0,0.0,1935.0,17772.48,1.0,Duplex,"1402 S Jamestown Ave,Tulsa,OK"
26,22146226,186000,3,1545,36.168373,917 N Winston Ave,74115,https://www.zillow.com/homedetails/917-N-Winston-Ave-Tulsa-OK-74115/22146226_zpid/,-95.92287,2.0,0.0,0.0,0.0,1942.0,13939.2,1.0,Duplex,"917 N Winston Ave,Tulsa,OK"
27,22175810,335000,5,1708,36.145863,1204 S Zunis Ave,74104,https://www.zillow.com/homedetails/1204-S-Zunis-Ave-Tulsa-OK-74104/22175810_zpid/,-95.96115,2.0,0.0,0.0,0.0,1950.0,96964.56,1.0,Duplex,"1204 S Zunis Ave,Tulsa,OK"
28,344772550,335000,6,1708,36.145863,1204 S Zunis Ave E,74104,https://www.zillow.com/homedetails/1204-S-Zunis-Ave-E-Tulsa-OK-74104/344772550_zpid/,-95.96115,2.0,0.0,0.0,0.0,1950.0,15115.32,2.0,Duplex,"1204 S Zunis Ave E,Tulsa,OK"
29,22164290,337000,2,3136,36.062893,6901 S 78th East Ave,74133,https://www.zillow.com/homedetails/6901-S-78th-East-Ave-Tulsa-OK-74133/22164290_zpid/,-95.89001,3.0,0.0,0.0,0.0,1983.0,8581.32,2.0,Duplex,"6901 S 78th East Ave,Tulsa,OK"
30,22164291,347000,1,3329,36.06314,6835 S 78th East Ave,74133,https://www.zillow.com/homedetails/6835-S-78th-East-Ave-Tulsa-OK-74133/22164291_zpid/,-95.89001,4.0,0.0,0.0,0.0,1983.0,7013.16,2.0,Duplex,"6835 S 78th East Ave,Tulsa,OK"
31,22108783,128000,5,982,36.140625,11027 E 15th St,74128,https://www.zillow.com/homedetails/11027-E-15th-St-Tulsa-OK-74128/22108783_zpid/,-95.852684,1.0,0.0,0.0,0.0,1975.0,8537.76,1.0,Duplex,"11027 E 15th St,Tulsa,OK"
32,22276869,60500,5,2235,36.115253,3237 S Hudson Ave,74135,https://www.zillow.com/homedetails/3237-S-Hudson-Ave-Tulsa-OK-74135/22276869_zpid/,-95.9133,0.0,0.0,0.0,0.0,1969.0,13982.76,1.0,Duplex,"3237 S Hudson Ave,Tulsa,OK"
33,22115699,25000,3,1092,36.172016,1241 N 76th Ave E,74115,https://www.zillow.com/homedetails/1241-N-76th-Ave-E-Tulsa-OK-74115/22115699_zpid/,-95.89126,0.0,0.0,0.0,0.0,1954.0,7492.32,1.0,Duplex,"1241 N 76th Ave E,Tulsa,OK"
34,22164251,377000,4,1899,36.064926,6748 S 78th East Ave,74133,https://www.zillow.com/homedetails/6748-S-78th-East-Ave-Tulsa-OK-74133/22164251_zpid/,-95.890594,2.0,1.0,0.0,0.0,1983.0,12545.28,2.0,Duplex,"6748 S 78th East Ave,Tulsa,OK"
35,349763933,34000,2,912,36.09956,4337 S 30th West Ave,74107,https://www.zillow.com/homedetails/4337-S-30th-West-Ave-Tulsa-OK-74107/349763933_zpid/,-96.02529,1.0,0.0,0.0,0.0,1983.0,10585.08,1.0,Duplex,"4337 S 30th West Ave,Tulsa,OK"
36,22164285,435000,6,4254,36.061447,7013 S 78th East Ave,74133,https://www.zillow.com/homedetails/7013-S-78th-East-Ave-Tulsa-OK-74133/22164285_zpid/,-95.89004,4.0,0.0,0.0,0.0,1982.0,12545.28,2.0,Duplex,"7013 S 78th East Ave,Tulsa,OK"
37,22116558,260000,2,1008,36.148796,1001 S Quincy Ave,74120,https://www.zillow.com/homedetails/1001-S-Quincy-Ave-Tulsa-OK-74120/22116558_zpid/,-95.97305,0.0,0.0,0.0,0.0,1936.0,9191.16,1.0,Duplex,"1001 S Quincy Ave,Tulsa,OK"
38,22114555,205000,3,1590,36.15695,2743 E 3rd St,74104,https://www.zillow.com/homedetails/2743-E-3rd-St-Tulsa-OK-74104/22114555_zpid/,-95.94954,1.0,0.0,0.0,0.0,1950.0,10454.4,1.0,Duplex,"2743 E 3rd St,Tulsa,OK"
39,22147503,235000,3,3136,36.11639,3227 S Allegheny Ave,74135,https://www.zillow.com/homedetails/3227-S-Allegheny-Ave-Tulsa-OK-74135/22147503_zpid/,-95.9212,2.0,1.0,0.0,0.0,1979.0,20168.28,2.0,Duplex,"3227 S Allegheny Ave,Tulsa,OK"
