State_city,Mapping
"AL,ANNISTON",0.0
"AL,BIRMINGHAM",1.0
"AL,BUTLER",2.0
"AL,DECATUR",3.0
"AL,DOTHAN",4.0
"AL,EVERGREEN",5.0
"AL,GADSDEN",6.0
"AL,HUNTSVILLE",7.0
"AL,JASPER",8.0
"AL,MOBILE",9.0
"AL,MONTGOMERY",10.0
"AL,PHENIX CITY",11.0
"AL,SELMA",12.0
"AL,TUSCALOOSA",13.0
"AK,ANCHORAGE",14.0
"AK,FAIRBANKS",15.0
"AK,JUNEAU",16.0
"AK,KETCHIKAN",17.0
"AZ,CHAMBERS",18.0
"AZ,FLAGSTAFF",19.0
"AZ,GLOBE",20.0
"AZ,KINGMAN",21.0
"AZ,MESA/TEMPE",22.0
"AZ,PHOENIX",23.0
"AZ,PRESCOTT",24.0
"AZ,SHOW LOW",25.0
"AZ,TUCSON",26.0
"AR,BATESVILLE",27.0
"AR,CAMDEN",28.0
"AR,FAYETTEVILLE",29.0
"AR,FORT SMITH",30.0
"AR,HARRISON",31.0
"AR,HOT SPRINGS",32.0
"AR,JONESBORO",33.0
"AR,LITTLE ROCK",34.0
"AR,PINE BLUFF",35.0
"AR,RUSSELLVILLE",36.0
"AR,TEXARKANA",37.0
"AR,WEST MEMPHIS",38.0
"CA,ALHAMBRA",39.0
"CA,ANAHEIM",40.0
"CA,BAKERSFIELD",41.0
"CA,BERKELEY",42.0
"CA,EUREKA",43.0
"CA,FRESNO",44.0
"CA,INGLEWOOD",45.0
"CA,LONG BEACH",46.0
"CA,LOS ANGELES",47.0
"CA,MARYSVILLE",48.0
"CA,MODESTO",49.0
"CA,MOJAVE",50.0
"CA,OAKLAND",51.0
"CA,OXNARD",52.0
"CA,PALM SPRINGS",53.0
"CA,PALO ALTO",54.0
"CA,PASADENA",55.0
"CA,REDDING",56.0
"CA,RICHMOND",57.0
"CA,RIVERSIDE",58.0
"CA,SACRAMENTO",59.0
"CA,SALINAS",60.0
"CA,SAN BERNARDINO",61.0
"CA,SAN DIEGO",62.0
"CA,SAN FRANCISCO",63.0
"CA,SAN JOSE",64.0
"CA,SAN LUIS OBISPO",65.0
"CA,SAN MATEO",66.0
"CA,SAN RAFAEL",67.0
"CA,SANTA ANA",68.0
"CA,SANTA BARBARA",69.0
"CA,SANTA CRUZ",70.0
"CA,SANTA ROSA",71.0
"CA,STOCKTON",72.0
"CA,SUSANVILLE",73.0
"CA,VALLEJO",74.0
"CA,VAN NUYS",75.0
"CO,ALAMOSA",76.0
"CO,BOULDER",77.0
"CO,COLORADO SPRINGS",78.0
"CO,DENVER",79.0
"CO,DURANGO",80.0
"CO,FORT COLLINS",81.0
"CO,FORT MORGAN",82.0
"CO,GLENWOOD SPRINGS",83.0
"CO,GOLDEN",84.0
"CO,GRAND JUNCTION",85.0
"CO,GREELEY",86.0
"CO,MONTROSE",87.0
"CO,PUEBLO",88.0
"CO,SALIDA",89.0
"CT,BRIDGEPORT",90.0
"CT,HARTFORD",91.0
"CT,MERIDEN",92.0
"CT,NEW BRITAIN",93.0
"CT,NEW HAVEN",94.0
"CT,NEW LONDON",95.0
"CT,NORWALK",96.0
"CT,STAMFORD",97.0
"CT,WATERBURY",98.0
"CT,WILLIMANTIC",99.0
"DC,WASHINGTON",100.0
"DE,DOVER",101.0
"DE,NEWARK",102.0
"DE,WILMINGTON",103.0
"FL,DAYTONA BEACH",104.0
"FL,FORT LAUDERDALE",105.0
"FL,FORT MYERS",106.0
"FL,GAINESVILLE",107.0
"FL,JACKSONVILLE",108.0
"FL,LAKELAND",109.0
"FL,MELBOURNE",110.0
"FL,MIAMI",111.0
"FL,ORLANDO",112.0
"FL,PANAMA CITY",113.0
"FL,PENSACOLA",114.0
"FL,SARASOTA",115.0
"FL,ST. PETERSBURG",116.0
"FL,TALLAHASSEE",117.0
"FL,TAMPA",118.0
"FL,WEST PALM BEACH",119.0
"GA,ALBANY",120.0
"GA,ATHENS",121.0
"GA,ATLANTA",122.0
"GA,AUGUSTA",123.0
"GA,COLUMBUS",124.0
"GA,DALTON",125.0
"GA,GAINESVILLE",126.0
"GA,MACON",127.0
"GA,SAVANNAH",128.0
"GA,STATESBORO",129.0
"GA,VALDOSTA",130.0
"GA,WAYCROSS",131.0
"HI,HILO",132.0
"HI,HONOLULU",133.0
"HI,STATES & POSS., GUAM",134.0
"ID,BOISE",135.0
"ID,COEUR D'ALENE",136.0
"ID,IDAHO FALLS",137.0
"ID,LEWISTON",138.0
"ID,POCATELLO",139.0
"ID,TWIN FALLS",140.0
"IL,BLOOMINGTON",141.0
"IL,CARBONDALE",142.0
"IL,CENTRALIA",143.0
"IL,CHAMPAIGN",144.0
"IL,CHICAGO",145.0
"IL,DECATUR",146.0
"IL,EAST ST. LOUIS",147.0
"IL,EFFINGHAM",148.0
"IL,GALESBURG",149.0
"IL,JOLIET",150.0
"IL,KANKAKEE",151.0
"IL,LA SALLE",152.0
"IL,NORTH SUBURBAN",153.0
"IL,PEORIA",154.0
"IL,QUINCY",155.0
"IL,ROCK ISLAND",156.0
"IL,ROCKFORD",157.0
"IL,SOUTH SUBURBAN",158.0
"IL,SPRINGFIELD",159.0
"IN,ANDERSON",160.0
"IN,BLOOMINGTON",161.0
"IN,COLUMBUS",162.0
"IN,EVANSVILLE",163.0
"IN,FORT WAYNE",164.0
"IN,GARY",165.0
"IN,INDIANAPOLIS",166.0
"IN,KOKOMO",167.0
"IN,LAFAYETTE",168.0
"IN,LAWRENCEBURG",169.0
"IN,MUNCIE",170.0
"IN,NEW ALBANY",171.0
"IN,SOUTH BEND",172.0
"IN,TERRE HAUTE",173.0
"IN,WASHINGTON",174.0
"IA,BURLINGTON",175.0
"IA,CARROLL",176.0
"IA,CEDAR RAPIDS",177.0
"IA,COUNCIL BLUFFS",178.0
"IA,CRESTON",179.0
"IA,DAVENPORT",180.0
"IA,DECORAH",181.0
"IA,DES MOINES",182.0
"IA,DUBUQUE",183.0
"IA,FORT DODGE",184.0
"IA,MASON CITY",185.0
"IA,OTTUMWA",186.0
"IA,SHENANDOAH",187.0
"IA,SIBLEY",188.0
"IA,SIOUX CITY",189.0
"IA,SPENCER",190.0
"IA,WATERLOO",191.0
"KS,BELLEVILLE",192.0
"KS,COLBY",193.0
"KS,DODGE CITY",194.0
"KS,EMPORIA",195.0
"KS,FORT SCOTT",196.0
"KS,HAYS",197.0
"KS,HUTCHINSON",198.0
"KS,INDEPENDENCE",199.0
"KS,KANSAS CITY",200.0
"KS,LIBERAL",201.0
"KS,SALINA",202.0
"KS,TOPEKA",203.0
"KS,WICHITA",204.0
"KY,ASHLAND",205.0
"KY,BOWLING GREEN",206.0
"KY,CAMPTON",207.0
"KY,CORBIN",208.0
"KY,COVINGTON",209.0
"KY,ELIZABETHTOWN",210.0
"KY,FRANKFORT",211.0
"KY,HAZARD",212.0
"KY,HENDERSON",213.0
"KY,LEXINGTON",214.0
"KY,LOUISVILLE",215.0
"KY,OWENSBORO",216.0
"KY,PADUCAH",217.0
"KY,PIKEVILLE",218.0
"KY,SOMERSET",219.0
"LA,ALEXANDRIA",220.0
"LA,BATON ROUGE",221.0
"LA,HAMMOND",222.0
"LA,LAFAYETTE",223.0
"LA,LAKE CHARLES",224.0
"LA,MONROE",225.0
"LA,NEW ORLEANS",226.0
"LA,SHREVEPORT",227.0
"LA,THIBODAUX",228.0
"ME,AUGUSTA",229.0
"ME,BANGOR",230.0
"ME,BATH",231.0
"ME,HOULTON",232.0
"ME,KITTERY",233.0
"ME,LEWISTON",234.0
"ME,MACHIAS",235.0
"ME,PORTLAND",236.0
"ME,ROCKLAND",237.0
"ME,WATERVILLE",238.0
"MD,ANNAPOLIS",239.0
"MD,BALTIMORE",240.0
"MD,COLLEGE PARK",241.0
"MD,CUMBERLAND",242.0
"MD,EASTON",243.0
"MD,ELKTON",244.0
"MD,HAGERSTOWN",245.0
"MD,SALISBURY",246.0
"MD,SILVER SPRING",247.0
"MD,WALDORF",248.0
"MA,BOSTON",249.0
"MA,BROCKTON",250.0
"MA,BUZZARDS BAY",251.0
"MA,FITCHBURG",252.0
"MA,FRAMINGHAM",253.0
"MA,GREENFIELD",254.0
"MA,HYANNIS",255.0
"MA,LAWRENCE",256.0
"MA,LOWELL",257.0
"MA,NEW BEDFORD",258.0
"MA,PITTSFIELD",259.0
"MA,SPRINGFIELD",260.0
"MA,WORCESTER",261.0
"MI,ANN ARBOR",262.0
"MI,BATTLE CREEK",263.0
"MI,BAY CITY",264.0
"MI,DETROIT",265.0
"MI,FLINT",266.0
"MI,GAYLORD",267.0
"MI,GRAND RAPIDS",268.0
"MI,IRON MOUNTAIN",269.0
"MI,JACKSON",270.0
"MI,KALAMAZOO",271.0
"MI,LANSING",272.0
"MI,MUSKEGON",273.0
"MI,ROYAL OAK",274.0
"MI,SAGINAW",275.0
"MI,TRAVERSE CITY",276.0
"MN,BEMIDJI",277.0
"MN,BRAINERD",278.0
"MN,DETROIT LAKES",279.0
"MN,DULUTH",280.0
"MN,MANKATO",281.0
"MN,MINNEAPOLIS",282.0
"MN,ROCHESTER",283.0
"MN,SAINT PAUL",284.0
"MN,ST. CLOUD",285.0
"MN,THIEF RIVER FALLS",286.0
"MN,WILLMAR",287.0
"MN,WINDOM",288.0
"MS,BILOXI",289.0
"MS,CLARKSDALE",290.0
"MS,COLUMBUS",291.0
"MS,GREENVILLE",292.0
"MS,GREENWOOD",293.0
"MS,JACKSON",294.0
"MS,LAUREL",295.0
"MS,MCCOMB",296.0
"MS,MERIDIAN",297.0
"MS,TUPELO",298.0
"MO,BOWLING GREEN",299.0
"MO,CAPE GIRARDEAU",300.0
"MO,CHILLICOTHE",301.0
"MO,COLUMBIA",302.0
"MO,FLAT RIVER",303.0
"MO,HANNIBAL",304.0
"MO,HARRISONVILLE",305.0
"MO,JEFFERSON CITY",306.0
"MO,JOPLIN",307.0
"MO,KANSAS CITY",308.0
"MO,KIRKSVILLE",309.0
"MO,POPLAR BLUFF",310.0
"MO,ROLLA",311.0
"MO,SEDALIA",312.0
"MO,SIKESTON",313.0
"MO,SPRINGFIELD",314.0
"MO,ST. JOSEPH",315.0
"MO,ST. LOUIS",316.0
"MT,BILLINGS",317.0
"MT,BUTTE",318.0
"MT,GREAT FALLS",319.0
"MT,HAVRE",320.0
"MT,HELENA",321.0
"MT,KALISPELL",322.0
"MT,MILES CITY",323.0
"MT,MISSOULA",324.0
"MT,WOLF POINT",325.0
"NE,ALLIANCE",326.0
"NE,COLUMBUS",327.0
"NE,GRAND ISLAND",328.0
"NE,HASTINGS",329.0
"NE,LINCOLN",330.0
"NE,MCCOOK",331.0
"NE,NORFOLK",332.0
"NE,NORTH PLATTE",333.0
"NE,OMAHA",334.0
"NE,VALENTINE",335.0
"NV,CARSON CITY",336.0
"NV,ELKO",337.0
